sp,press,temp,dfdr_val,dfdr_err,dapl_val,dapl_err,difn_val,difn_err
Boli_infu,1,,0.158106,5.68E-03,0,8.93E-03,4.581363721,0.2124810975
Boli_infu,250,,0.130912,3.38E-03,0.01445841,8.66E-03,3.206591995,0.1511692503
Boli_infu,500,,0.109756,5.51E-03,0.02659426,8.97E-03,2.937327548,0.1216487147
Boli_infu,1000,,0.110329,1.70E-03,0.04319546,8.35E-03,1.991771658,0.08406039115
Boli_infu,1500,,0.086959,6.95E-03,0.05841092,8.95E-03,1.188780897,0.04765668723
Tjal_pink,1,,0.247802,3.60E-03,0,5.39E-03,5.16092538,0.2153632277
Tjal_pink,250,,0.166316,3.29E-02,0.00605589,5.65E-03,3.300625598,0.1428558446
Tjal_pink,500,,0.160831,2.81E-02,0.0170793,5.47E-03,2.459700449,0.1046184619
Tjal_pink,1000,,0.139454,2.57E-02,0.03862663,5.68E-03,1.635198579,0.07019312772
Tjal_pink,1500,,0.131837,2.54E-02,0.05171242,5.42E-03,1.193800381,0.05588510187
Boli_vitr,1,,0.045899,6.1386E-03,0,5.80E-03,3.985475342,0.1648723619
Boli_vitr,1000,,-0.02492,5.2811E-03,0.06453102,5.41E-03,1.070169297,0.04577348614
Lamp_crue,1,,0.105808,3.0695E-03,0,6.15E-03,5.077430369,0.2119513371
Lamp_crue,1000,,0.075676,7.6950E-03,0.04868655,6.12E-03,1.788022586,0.08744298272