rep,press,strain,expt,od_beg,od_end
A,1,PPE,PPE,0.20,0.395
B,1,PPE,PPE,0.20,0.379
C,1,PPE,PPE,0.20,0.400
A,250,PPE,PPE,0.20,0.371
B,250,PPE,PPE,0.20,0.396
C,250,PPE,PPE,0.20,0.363
A,500,PPE,PPE,0.20,0.438
B,500,PPE,PPE,0.20,0.349
C,500,PPE,PPE,0.20,0.362
A,1,PE,PPE,0.20,0.406
B,1,PE,PPE,0.20,0.418
C,1,PE,PPE,0.20,0.411
A,250,PE,PPE,0.20,0.368
B,250,PE,PPE,0.20,0.342
C,250,PE,PPE,0.20,0.299
A,500,PE,PPE,0.20,0.292
B,500,PE,PPE,0.20,0.296
C,500,PE,PPE,0.20,0.327
A,0,PE,PC,0.18,0.705
B,0,PE,PC,0.18,0.584
C,0,PE,PC,0.18,0.703
A,250,PE,PC,0.18,0.503
B,250,PE,PC,0.18,0.468
C,250,PE,PC,0.18,0.467
A,500,PE,PC,0.18,0.210
B,500,PE,PC,0.18,0.169
C,500,PE,PC,0.18,0.237
A,0,PC,PC,0.17,0.268
B,0,PC,PC,0.17,0.266
C,0,PC,PC,0.17,0.274
A,250,PC,PC,0.17,0.213
B,250,PC,PC,0.17,0.208
C,250,PC,PC,0.17,0.224
A,500,PC,PC,0.17,0.137
B,500,PC,PC,0.17,0.125
C,500,PC,PC,0.17,0.117
A,0,PG-,PG,0.15,0.537
B,0,PG-,PG,0.15,0.613
C,0,PG-,PG,0.15,0.599
A,0,PG+,PG,0.14,0.576
B,0,PG+,PG,0.14,0.529
C,0,PG+,PG,0.14,0.583
A,250,PG-,PG,0.15,0.516
B,250,PG-,PG,0.15,0.491
C,250,PG-,PG,0.15,0.554
A,250,PG+,PG,0.14,0.543
B,250,PG+,PG,0.14,0.579
C,250,PG+,PG,0.14,0.420
A,500,PG-,PG,0.15,0.318
B,500,PG-,PG,0.15,0.335
C,500,PG-,PG,0.15,0.324
A,500,PG+,PG,0.14,0.369
B,500,PG+,PG,0.14,0.314
C,500,PG+,PG,0.14,0.394