samp,pheno,temp,press,ph
JWL0311,PPE+,10,0,lb
JWL0311,PPE+,20,0,lb
JWL0311,PPE+,30,0,la
JWL0311,PPE+,40,0,hii
JWL0311,PPE+,50,0,hii
JWL0311,PPE+,60,0,hii
JWL0311,PPE+,70,0,hii
JWL0311,PPE+,80,0,hii
JWL0312,PPE-,10,0,lb
JWL0312,PPE-,20,0,lb
JWL0312,PPE-,20,0,la
JWL0312,PPE-,30,0,la
JWL0312,PPE-,40,0,la
JWL0312,PPE-,50,0,la
JWL0312,PPE-,60,0,la
JWL0312,PPE-,70,0,la
JWL0312,PPE-,80,0,hii
JWL0315A,PE,10,0,lb
JWL0315A,PE,20,0,lb
JWL0315A,PE,20,0,la
JWL0315A,PE,30,0,la
JWL0315A,PE,40,0,la
JWL0315A,PE,50,0,la
JWL0315A,PE,60,0,la
JWL0315A,PE,70,0,la
JWL0315A,PE,80,0,hii
JWL0316A,PC,13,0,lb
JWL0316A,PC,20,0,lb
JWL0316A,PC,20,0,la
JWL0316A,PC,30,0,la
JWL0316A,PC,40,0,la
JWL0316A,PC,50,0,la
JWL0316A,PC,60,0,la
JWL0316A,PC,80,0,la